City,Country
Ungaran,Indonesia
El Copé,Panama
Kendalngupuk,Indonesia
Butahai,China
Coutances,France
Santa María Chiquimula,Guatemala
Nova Odessa,Brazil
Severo-Zadonsk,Russia
Wesoła,Poland
Warugunung,Indonesia
Wuxi,China
Kunting,Gambia
Penedono,Portugal
Ḩalabjah,Iraq
Parreira,Portugal
Jambubol,Indonesia
Bayasgalant,Mongolia
Dongda,China
Boituva,Brazil
El Pardo,Philippines
Sidu,China
Maluno Sur,Philippines
Amarillo,United States
Cojutepeque,El Salvador
Chilliwack,Canada
Puerto Bello,Philippines
Puunage,Indonesia
Medeiros Neto,Brazil
Bojawa,Indonesia
Vale,Portugal
Johanneshov,Sweden
Washington,United States
Sumqayıt,Azerbaijan
Zhendu,China
Marne-la-Vallée,France
Nadezhda,Russia
Cacocum,Cuba
Muraloka,Indonesia
Saint David’s,Grenada
Lieqiao,China
Stockholm,Sweden
Templeogue,Ireland
Lijiapu,China
Gujrāt,Pakistan
Obikiik,Tajikistan
Guluoshan,China
Khondāb,Iran
Piranshahr,Iran
Porciúncula,Brazil
Västervik,Sweden
Kamennogorsk,Russia
Aviá Terai,Argentina
Shushary,Russia
Horred,Sweden
Demyansk,Russia
Wentugaole,China
Bitkine,Chad
Cruz Alta,Brazil
Monte Plata,Dominican Republic
Kéfalos,Greece
Donggang,China
Rio Grande da Serra,Brazil
Auch,France
Arroyo Seco,Argentina
Allada,Benin
Kislovodsk,Russia
Kota Kinabalu,Malaysia
Langley,United Kingdom
São João,Portugal
Železný Brod,Czech Republic
Sukaraja,Indonesia
Rubirizi,Uganda
Pueblo,United States
Jarocin,Poland
Sundsvall,Sweden
Chum Phuang,Thailand
Gamay,Philippines
Lac du Bonnet,Canada
Carcassonne,France
Moravský Krumlov,Czech Republic
Annaka,Japan
Elías,Colombia
Várzea,Portugal
Ala,China
Tōgane,Japan
Banjar Lalangpasek,Indonesia
Novaya Mayna,Russia
Lianshi,China
Tanjay,Philippines
Yanyang,China
Syktyvkar,Russia
Ban Nong Wua So,Thailand
Vila Velha de Ródão,Portugal
Sosnovo-Ozerskoye,Russia
Jatinagara Kulon,Indonesia
Mendī,Ethiopia
Caacupé,Paraguay
Puerto Deseado,Argentina
Sukagawa,Japan
Bulubrangsi,Indonesia
Sexiong,China
Lekas,Albania
Oslo,Norway
Yirga ‘Alem,Ethiopia
Dukoh,Indonesia
Kruty,Ukraine
Alcabideche,Portugal
Nytva,Russia
Sumberagung,Indonesia
Pārūn,Afghanistan
Menlou,China
Лабуништа,Macedonia
Gaojian,China
Ke’erlun,China
Burujul,Indonesia
Jiuchi,China
Pindangan Centro,Philippines
Thung Yang Daeng,Thailand
Stockholm,Sweden
Betong,Thailand
Kronshtadt,Russia
Konstantynów,Poland
Seynod,France
Galižana,Croatia
Krasnyy Oktyabr’,Russia
Villa Florida,Paraguay
Jianqiao,China
Kang-neung,South Korea
Guhua,China
Celestynów,Poland
Evijärvi,Finland
Kruty,Ukraine
Sandymount,Ireland
Hong Kong,Hong Kong
Cabrero,Chile
Gading,Indonesia
Embu Guaçu,Brazil
Takāb,Iran
Slavonice,Czech Republic
Mrkonjić Grad,Bosnia and Herzegovina
Delson,Canada
Rudnichnyy,Russia
Guoduwan,China
Jahrom,Iran
Zhangcun,China
Itaperuna,Brazil
Kharkhorin,Mongolia
Sulbiny Górne,Poland
Beauvais,France
Ponta Grossa,Brazil
Charlotte,United States
Kajisara,Indonesia
Pangkalanbuun,Indonesia
Tiebiancheng,China
Desa Borogojol,Indonesia
Nāḩiyat Hīrān,Iraq
Mina de São Domingos,Portugal
Pogag,Indonesia
San Vicente Pacaya,Guatemala
Cikuda,Indonesia
Mengenkrajan,Indonesia
Partang,China
Tsukawaki,Japan
Taquarituba,Brazil
Victoria West,South Africa
Perfilovo,Russia
Maqbanah,Yemen
Aleg,Mauritania
Bloomington,United States
Borucin,Poland
Chortkiv,Ukraine
Pau,France
Hoçisht,Albania
Gaofeng,China
Jimsar,China
Kushikino,Japan
Dístomo,Greece
Hengxi,China
Weixin,China
Khartsyz’k,Ukraine
Emiliano Zapata,Mexico
Sudislavl’,Russia
Akouda,Tunisia
Pompéu,Brazil
Idah,Nigeria
Těšetice,Czech Republic
Almoínhas Velhas,Portugal
Gaoshi,China
Larap,Philippines
Kunčina,Czech Republic
Nizwá,Oman
Svetogorsk,Russia
Hāgere Hiywet,Ethiopia
Muye,China
Turgenevo,Russia
Nakasongola,Uganda
Unden,Indonesia
Runan,China
Konice,Czech Republic
Cordeiro,Brazil
Sucre,Bolivia
Puttalam,Sri Lanka
Guápiles,Costa Rica
Ourozinho,Portugal
Kalnibolotskaya,Russia
Tietê,Brazil
Áyios Nikólaos,Greece
Fenoarivo Atsinanana,Madagascar
Cibaregbeg Dua,Indonesia
Al Ḩammāmāt,Tunisia
Okhansk,Russia
Huangduobu,China
Sheshory,Ukraine
Machico,Portugal
Ovsyanka,Russia
Los Frentones,Argentina
Paris La Défense,France
Penha,Brazil
Tianzhuang,China
Libuganon,Philippines
Gandiaye,Senegal
Vale da Serra,Portugal
Giồng Riềng,Vietnam
Znamenskoye,Russia
Gŭlŭbovo,Bulgaria
Smolyan,Bulgaria
Motala,Sweden
Komsomol’skiy,Russia
Pendawanbaru,Indonesia
Beverwijk,Netherlands
Nyíregyháza,Hungary
Rancakole,Indonesia
Tambaksari,Indonesia
Brämhult,Sweden
Angers,France
Devesa,Portugal
Stavyshche,Ukraine
Shangcunba,China
Loreto,Argentina
Bang Khon Thi,Thailand
Mougins,France
Longmen,China
Lianghe,China
Tours,France
Pingtang,China
Parzęczew,Poland
Ždánice,Czech Republic
Fukuma,Japan
Galis,Indonesia
Qingtang,China
Probolinggo,Indonesia
Erdao,China
Colomi,Bolivia
Kebon,Indonesia
Sabugueiro,Portugal
Luojiang,China
Kŭrdzhali,Bulgaria
Choros,Peru
Ea Drăng,Vietnam
Tío Pujio,Argentina
Bokaa,Botswana
Issy-les-Moulineaux,France
Santa Clara,Philippines
Nong Yai,Thailand
Al Wardānīn,Tunisia
Made,Indonesia
Skoura,Morocco
San Rafael Abajo,Costa Rica
Borucin,Poland
San Pedro de Ycuamandiyú,Paraguay
Ribeirão Pires,Brazil
Bibis,Indonesia
Samaro,Pakistan
Delok,Indonesia
Jingkou,China
Orodara,Burkina Faso
Rutana,Burundi
Hesi,China
Vila Maior,Portugal
Jingzi,China
Al Farwānīyah,Kuwait
Frankfurt am Main,Germany
Dayou,China
Taizi,China
Fort Portal,Uganda
Palatine,United States
Asahi,Japan
Columbia,United States
Zheyuan,China
Longnawang,Indonesia
Lwówek Śląski,Poland
Purorejo,Indonesia
San Antonio Aguas Calientes,Guatemala
Kisangani,Democratic Republic of the Congo
Ubonratana,Thailand
Leiden,Netherlands
Bulls,New Zealand
Na Muen,Thailand
Krajan Dukuhseti,Indonesia
Katovice,Czech Republic
Cimuncang,Indonesia
Velyka Lepetykha,Ukraine
Debrecen,Hungary
Sanlicheng,China
Tulsīpur,Nepal
Andong,South Korea
Zheleznogorsk,Russia
Skomlin,Poland
Uinskoye,Russia
Qaşr Hallāl,Tunisia
Yangqing,China
Esquipulas,Guatemala
Vila Velha,Brazil
Anliang,China
Chrysoúpolis,Greece
Stęszew,Poland
Wujingfu,China
Parizh,Russia
Santa María del Real,Honduras
Hecheng,China
Pérez,Argentina
Koroška Bela,Slovenia
Lepoglava,Croatia
Verin Dvin,Armenia
Kuantan,Malaysia
Caburan,Philippines
Kraton,Indonesia
Mengdong,China
Michałowice,Poland
Caen,France
Bašaid,Serbia
Älvdalen,Sweden
Tajimi,Japan
Fermont,Canada
Belén de Umbría,Colombia
Pedrulheira,Portugal
Morales,Colombia
Zhonggang,China
Seara,Portugal
Gonayiv,Haiti
Sioux Falls,United States
Yeghvard,Armenia
Ketitang Wetan,Indonesia
Darvi,Mongolia
Fajões,Portugal
Wajak,Indonesia
Bihoro,Japan
Goúrnes,Greece
Jiufeng,China
Oslo,Norway
Alīpur,Pakistan
Skole,Ukraine
Guadalupe,Mexico
Felgueiras,Portugal
Sungai Raya,Indonesia
Ramat Yishay,Israel
Barvinkove,Ukraine
Kirkop,Malta
Lurugan,Philippines
Paulo Afonso,Brazil
Las Flores,Mexico
Dongmazar,China
Rahayu,Indonesia
Guadalupe,Mexico
Yagoua,Cameroon
Navatat,Philippines
La Paz,Argentina
Prosperous,Ireland
Catamayo,Ecuador
Shalazhi,Russia
Ringinagung,Indonesia
Oujiangcha,China
Ban Lŭng,Cambodia
Saint-Rémi,Canada
Guangning,China
Bratislava,Slovakia
Selat,Indonesia
Belén,Nicaragua
Stockholm,Sweden
Trzciana,Poland
Teeli,Russia
Beaufort,Luxembourg
Vila de Rei,Portugal
Quimistán,Honduras
Choszczno,Poland
Odiong,Philippines
Tsyurupyns’k,Ukraine
Pasar Kidul,Indonesia
Witkowo,Poland
Phú Khương,Vietnam
San Agustin,Mexico
Bogorejo,Indonesia
Bétérou,Benin
Wuyang,China
Shangtang,China
Senadan,Indonesia
Zhu’ao,China
Kaset Sombun,Thailand
Wucheng,China
Daba,China
Era,Indonesia
Ludwigshafen am Rhein,Germany
Bolou,Indonesia
Lyon,France
Pristina,Kosovo
Vitali,Philippines
Corumbá,Brazil
Bezhta,Russia
Katagum,Nigeria
Huntsville,United States
Xialiao,China
Guji,China
Buhe,China
Gravataí,Brazil
Šuto Orizare,Macedonia
Zheleznogorsk,Russia
Sentieiras,Portugal
Razan,Iran
Dongzhou,China
Obigarm,Tajikistan
Södertälje,Sweden
Dhanot,Pakistan
Várzea,Portugal
Cibulakan,Indonesia
Licun,China
Várzea da Palma,Brazil
Ouro Branco,Brazil
Sumbe,Angola
Charlotte,United States
Kowary,Poland
Liběšice,Czech Republic
Weiting,China
Tugulym,Russia
Jungkat Selatan,Indonesia
Lümeng,China
Sidaurip,Indonesia
Sugiharjo,Indonesia
Zhongdong,China
Kertasari,Indonesia
Bagé,Brazil
Shipunovo,Russia
Draguignan,France
Lewolen,Indonesia
Eṭ Ṭaiyiba,Israel
Saint-Raymond,Canada
María la Baja,Colombia
Xiatang,China
Zitong,China
Guling,China
Kotes,Indonesia
Dagur,China
Gizałki,Poland
Cirompang,Indonesia
Harbutowice,Poland
Chishui,China
Tonota,Botswana
Xin Bulag,China
General Elizardo Aquino,Paraguay
Lyalichi,Russia
Cockburn Town,Turks and Caicos Islands
Chengbei,China
Mingjing,China
Molo,Kenya
Sacramento,United States
Dvůr Králové nad Labem,Czech Republic
Bene 'Ayish,Israel
Valašská Bystřice,Czech Republic
Jiulong,China
Yisa,China
Aghajari,Iran
Pingshan,China
Funehikimachi-funehiki,Japan
Hongqi,China
Séguéla,Ivory Coast
Jiangmen,China
Hostomice,Czech Republic
Icó,Brazil
Redange-sur-Attert,Luxembourg
Meijiang,China
Salamnunggal,Indonesia
Condado,Cuba
Gongdao,China
Planeta Rica,Colombia
Paris 18,France
Hošťka,Czech Republic
New Panamao,Philippines
Laju Kidul,Indonesia
Dukuh,Indonesia
Shalqīya,Kazakhstan
Kuala Lumpur,Malaysia
Bayan,China
Carnaxide,Portugal
Tsalka,Georgia
Montpellier,France
Volot,Russia
Wuxing,China
Coyah,Guinea
Kediri,Indonesia
Rakiv Lis,Ukraine
Huangfang,China
Shipka,Bulgaria
Jinshan,China
Petrivka,Ukraine
Vylkove,Ukraine
Florencia,Colombia
Capacho Nuevo,Venezuela
Yinji,China
Igoumenítsa,Greece
Danané,Ivory Coast
Kemijärvi,Finland
Pringgoboyo,Indonesia
Stockholm,Sweden
Fort-de-France,Martinique
Sidi Smaïl,Morocco
Sanlidian,China
Kilim,Philippines
Adela,Philippines
Miringa,Nigeria
Ea Drăng,Vietnam
Niedzica,Poland
Kaduy,Russia
Chernivtsi,Ukraine
Ujiie,Japan
Salam,Indonesia
Naifaru,Maldives
Kanbe,Myanmar
Mirzāpur,Bangladesh
Boevange-sur-Attert,Luxembourg
Chigan,China
Sanshandao,China
Padre Burgos,Philippines
Al Qarmadah,Tunisia
Carabayllo,Peru
Tanout,Niger
Yangdian,China
Sinegor'ye,Russia
Bobon,Philippines
Raci Kulon,Indonesia
Thaton,Myanmar
Kamienna Góra,Poland
Ujsoły,Poland
Clisson,France
Vila Nova de Gaia,Portugal
Lido,Indonesia
Jatinagara,Indonesia
Kašperské Hory,Czech Republic
Borne Sulinowo,Poland
San Rafael,Mexico
Bishan,China
Ovruch,Ukraine
Īz̄eh,Iran
Xianghe,China
Mölnlycke,Sweden
Bessonovka,Russia
Viloco,Bolivia
Krasnyy Oktyabr’,Russia
Leuwibuleud,Indonesia
Jamaica,United States
Madan,Indonesia
Pierreville,Canada
Xiancun,China
Shuidong,China
Manaquiri,Brazil
Dukay,Philippines
Sączów,Poland
Dzaoudzi,Mayotte
Yongping,China
Mahaica Village,Guyana
Oeri’u,Indonesia
Fengting,China
Pélla,Greece
Lahad Datu,Malaysia
Timba Lauk,Indonesia
Kuty,Ukraine
Xinpo,China
Rāiwind,Pakistan
Amorim,Portugal
Samphanthawong,Thailand
Dayong,China
Shah Alam,Malaysia
Évry,France
Feikeng,China
Desnogorsk,Russia
Chunmuying,China
Smārde,Latvia
Åhus,Sweden
Stráž,Czech Republic
Izingolweni,South Africa
Daugavpils,Latvia
Hekou,China
Staryy Urukh,Russia
Wonodadi,Indonesia
Gines-Patay,Philippines
Plakhtiyivka,Ukraine
Kolodeznyy,Russia
Krajan Satu,Indonesia
Nankou,China
Sentul,Indonesia
Niigata-shi,Japan
Nīshābūr,Iran
Askainen,Finland
Fyllingsdalen,Norway
Yiwa,China
Manwakh,Yemen
Lomme,France
Koson Shahri,Uzbekistan
Shāhzādpur,Bangladesh
